Document Number,Invoice Value,Department,Authorization,Conflicting Rules
1907000514,20275,HR,Yes,No Conflicting Rules
1919000472,2220,HR,Yes,No Conflicting Rules
1924000092,33,HR,Yes,No Conflicting Rules
1924000093,58425,HR,Yes,No Conflicting Rules
1924000098,409500,HR,Yes,No Conflicting Rules
1927000323,693,HR,Yes,No Conflicting Rules
1819100562,21240,Manufacturing,No,"CRID001,CRID002,CRID003"
1819100581,51920,Manufacturing,No,"CRID001,CRID002,CRID003"
1819100765,25824,Manufacturing,No,"CRID001,CRID002,CRID003"
1819100826,112320,Manufacturing,No,"CRID001,CRID002,CRID003"
1819100843,47694,Manufacturing,No,"CRID001,CRID002,CRID003"
1819100844,20720,Manufacturing,No,"CRID001,CRID002,CRID003"
1819100894,250800,Manufacturing,No,"CRID001,CRID002,CRID003"
1819200058,17500,Manufacturing,No,"CRID001,CRID002,CRID003"
1819200084,56000,Manufacturing,No,"CRID001,CRID002,CRID003"
1819200095,5350,Manufacturing,No,"CRID001,CRID002,CRID003"
1907000510,18277,Manufacturing,No,"CRID001,CRID002,CRID003"
1907000528,569940,Manufacturing,No,"CRID001,CRID002,CRID003"
1907000547,166672,Manufacturing,No,"CRID001,CRID002,CRID003"
1919000452,148428,Manufacturing,No,"CRID001,CRID002,CRID003"
1927000259,269325,Manufacturing,No,"CRID001,CRID002,CRID003"
1819100564,127575,Support,Yes,No Conflicting Rules
1819100618,14504,Support,Yes,No Conflicting Rules
1819100630,287055,Support,Yes,No Conflicting Rules
1819100644,5258,Support,Yes,No Conflicting Rules
1819100667,5630,Support,Yes,No Conflicting Rules
1819100697,41916,Support,Yes,No Conflicting Rules
1819100749,11736,Support,Yes,No Conflicting Rules
1819100800,473948,Support,Yes,No Conflicting Rules
1819100838,127575,Support,Yes,No Conflicting Rules
1819100846,4956,Support,Yes,No Conflicting Rules
1819100884,141895,Support,Yes,No Conflicting Rules
1819200051,1700,Support,Yes,No Conflicting Rules
